City Name,2023_Score_Max10000,2022_Score_Max7500,2020_Score_Max6000,2019_Score_5000,2018_Score,2017_Score,2016_Score,lat,lon
INDAPUR,6593.857674,5424.12,4888.36,3752,2778,1092.744027,1190.857143,17.5148,74.1233
RAJNANDGAON,6593.857674,4880.85,4887.5,3391,2807,1074,1190.857143,21.08,81.9585
BILASPUR,6593.857674,5407.03,4875.74,3617,3136,1039,1190.857143,22.0797,82.145
DEOLALI PRAVARA,6593.857674,5680.94,4849.85,3382.059701,2904.415663,1092.744027,1190.857143,19.9363,73.8358
UJJAIN,6593.857674,5775.76,4826.53,4244,3198,1691,1190.857143,23.1793,75.7846
RAIGARH,6593.857674,5116.84,4808.37,3374,2836,1223,1190.857143,21.79,82.2876
BURHANPUR,6593.857674,5004.88,4791.18,3382.059701,2644,1156,1190.857143,21.2651,76.211
RAJAPUR,6593.857674,5119.61,4767.52,3382.059701,2752,1092.744027,1190.857143,19.3024,73.0582
VITA,6593.857674,5772.55,4764.28,3970,2896,1092.744027,1190.857143,16.7628,74.1943
MURGUD,6593.857674,5406.54,4736.62,3599,2904.415663,1092.744027,1190.857143,16.8623,74.5335
PATAN (NP),6593.857674,6238.97,4732.12,3382.059701,2904.415663,1092.744027,1190.857143,24.41,75.74
SINGRAULI,6593.857674,5464.27,4703.93,3763,3122,1414,1190.857143,24.0193,82.6748
CHHINDWARA,6593.857674,5911.98,4691.03,3636,2944,1410,1190.857143,22.07,78.9341
DUNGARPUR (M),6593.857674,5290.87,4688.46,3382.059701,2904.415663,1092.744027,1190.857143,23.847,73.5781
SHAHGANJ,6593.857674,5107.87,4672.97,3923,2904.415663,1092.744027,1190.857143,25.8798,82.7383
KARNAL,6593.857674,4284.23,4655.07,3736,2958,1348,1190.857143,29.6839,76.99
JASHPUR NAGAR (M),6593.857674,5357.05,4623.17,3382.059701,2904.415663,1092.744027,1190.857143,22.2404,82.9749
NARKHED,6593.857674,5413.96,4622.2,3296,2904.415663,1092.744027,1190.857143,21.0577,78.3892
AMBARNATH,6593.857674,3280.78,4614.04,3575,2904.415663,1272,1190.857143,19.1571,73.1431
MIRA-BHAYANDAR,6593.857674,5967.4,4608.14,3622,2903,1172,1190.857143,19.2189,72.8555
PANVEL,6593.857674,5583.64,4599.74,2969,2619,1065,1190.857143,19.0408,73.1206
MATHERAN,6593.857674,4733.22,4599.28,3382.059701,2892,1092.744027,1190.857143,18.9883,73.2762
MALKAPUR_S,6593.857674,5426.45,4596.7,3231,2904.415663,1092.744027,1190.857143,20.4722,76.1561
NARHARPUR (NP),6593.857674,4390.6,4586.4,3382.059701,2904.415663,1092.744027,1190.857143,22.173,82.1953
KHANDWA,6593.857674,5702.29,4560.77,2908,2588,1319,1190.857143,21.8393,76.2005
JALNA,6593.857674,3365.6,4535.17,3382.059701,2904.415663,626,1190.857143,19.858,75.8845
PITHAMPUR,6593.857674,5478.74,4534.9,3273,2796,1352,1190.857143,22.5444,75.8105
BALLARPUR,6593.857674,5207.35,4534.22,3382.059701,2904.415663,1092.744027,1190.857143,20.0288,79.2963
KHED,6593.857674,5154.38,4511.73,3382.059701,2746,1092.744027,1190.857143,18.7738,73.3808
MUL,6593.857674,4393.88,4500.35,4028,2822,1092.744027,1190.857143,20.2706,78.9636
MAHABALESHWAR,6593.857674,4919.89,4478.56,3783,2929,1092.744027,1190.857143,17.9242,73.6615
MAHAD,6593.857674,5116.7,4458.45,3462,2895,1092.744027,1190.857143,18.067,73.3433
BADNAWAR,6593.857674,4880.84,4454.49,3382.059701,2904.415663,1092.744027,1190.857143,22.273,75.1553
TASGAON,6593.857674,5282.43,4447.71,3517,2788,1092.744027,1190.857143,16.9783,73.9214
OMKARESHWAR,6593.857674,4320.24,4436.16,3382.059701,2904.415663,1489,1190.857143,22.2345,75.738
KATNI,6593.857674,5219.06,4405.82,2872,2904.415663,1092.744027,1190.857143,23.8152,80.3898
NOIDA,6593.857674,6332.2,4403.22,3382.059701,2904.415663,1092.744027,1190.857143,28.5355,77.391
BHIWANDI NIZAMPUR,6593.857674,3551.79,4396.12,2972,2595,571,1190.857143,19.303,73.0655
JAMNER,6593.857674,4745.49,4392.87,3382.059701,2827,1092.744027,1190.857143,20.0366,75.978
SHIRUR,6593.857674,5216.59,4388.81,3140,2904.415663,1092.744027,1190.857143,19.0648,74.7243
KAWARDHA (M),6593.857674,5236.53,4379.51,3382.059701,2904.415663,1092.744027,1190.857143,22.1214,81.2162
Jhansi,6593.857674,3728.456823,4365.01,3086,2805,1072,1190.857143,25.4484,78.5722
SANGAMNER,6593.857674,5617.52,4355.07,3282,2904.415663,1092.744027,1190.857143,19.7588,74.4401
JAMNAGAR,6593.857674,4855.86,4355.02,2996,2904.415663,1503,1190.857143,22.4668,70.0662
MAHADULA,6593.857674,5151.83,4341.99,3382.059701,2904.415663,1092.744027,1190.857143,20.6355,78.13
PANCHGANI,6593.857674,6396.46,4317.98,3678,3184,1092.744027,1190.857143,17.932,73.759
DEWAS,6593.857674,5634.37,4310.08,3968,2723,1386,1190.857143,22.9622,76.0563
Aligarh,6593.857674,3728.456823,4309.19,3382.059701,2904.415663,1117,1190.857143,27.8974,78.0885
VENGURLA,6593.857674,4983.92,4308.86,3347,2930,1092.744027,1190.857143,16.1397,73.7117
RATLAM,6593.857674,5327.55,4298.72,3116,2712,1422,1190.857143,23.3039,75.0376
SHIRPUR- WARWADE,6593.857674,4953.14,4294.67,3316,2904.415663,1092.744027,1190.857143,21.0655,74.24
SARAGAON (NP),6593.857674,4647.24,4293.21,3382.059701,2904.415663,1092.744027,1190.857143,21.53,81.8733
RAMTEK,6593.857674,3731.31,4286.59,3382.059701,2904.415663,1092.744027,1190.857143,21.2356,79.1933
PANDHARPUR,6593.857674,4917.11,4281.43,3562,2904.415663,1092.744027,1190.857143,17.251,75.1875
WADI,6593.857674,4929.29,4275.76,3382.059701,2904.415663,1092.744027,1190.857143,20.6458,76.1022
DOUNDAICHA WARWADE,6593.857674,4653.32,4275.73,3382.059701,2904.415663,1092.744027,1190.857143,20.8402,75.3557
KOLHAPUR,6593.857674,4094.29,4274.34,3803,2686,1048,1190.857143,16.7054,74.243
VAIJAPUR,6593.857674,5442.02,4259.82,3400,2916,1092.744027,1190.857143,19.6475,75.173
PEN,6593.857674,5377.43,4235.64,3263,2904.415663,1092.744027,1190.857143,18.9384,73.6506
GEORAI,6593.857674,4151.13,4233.23,3382.059701,2801,1092.744027,1190.857143,19.5771,75.6973
TALALA,6593.857674,3688.47,4223.14,3382.059701,2904.415663,1092.744027,1190.857143,21.0833,70.1681
JUNNAR,6593.857674,5435.85,4222.82,3609,2904.415663,1092.744027,1190.857143,19.0674,73.7085
TALEGAON DABHADE,6593.857674,4255.34,4218.97,3220,2904.415663,1092.744027,1190.857143,18.5796,73.6586
RAHIMATPUR,6593.857674,4548.25,4215.81,3440,2748,1092.744027,1190.857143,21.0613,79.2517
JAGDALPUR,6593.857674,5156.86,4213.39,3510,2904.415663,922,1190.857143,19.0791,82.0347
BHILAI NAGAR,6593.857674,5500.18,4212.41,3929,2715,1407,1190.857143,21.2122,81.3204
VARANGAON,6593.857674,3214.46,4198.57,3382.059701,2763,1092.744027,1190.857143,21.2367,78.8469
ROHTAK,6593.857674,5143.17,4180.55,3083,2614,800,1190.857143,28.9009,76.6102
PIPARIYA (NP),6593.857674,4319.99,4179.3,3382.059701,2904.415663,1092.744027,1190.857143,22.323,78.5522
PAITHAN,6593.857674,4020.79,4167.6,3382.059701,2871,1092.744027,1190.857143,19.2824,75.2935
BARAMKELA (NP),6593.857674,4737.22,4167.53,3382.059701,2904.415663,1092.744027,1190.857143,21.6436,82.598
SARIYA (NP),6593.857674,4197.05,4166.87,3382.059701,2904.415663,1092.744027,1190.857143,22.2234,82.0163
SANGLI,6593.857674,4076.96,4163.41,3382.059701,2904.415663,1092.744027,1190.857143,16.8606,74.5708
GANGAGHAT (NPP),6593.857674,2732.51,4161.12,3382.059701,2904.415663,1092.744027,1190.857143,20.6194,75.0725
AMRAVATI,6593.857674,4252.57,4160.24,3382.059701,2904.415663,922,1190.857143,20.9334,77.766
BADRAVATI,6593.857674,5479.15,4159.69,3382.059701,2904.415663,1092.744027,1190.857143,22.1164,78.0638
AMALNER,6593.857674,5268.84,4159.42,3382.059701,2904.415663,1092.744027,1190.857143,20.167,75.0347
BAGASRA,6593.857674,2466.61,4159.25,3382.059701,2904.415663,1092.744027,1190.857143,21.3054,70.5987
BARSHI,6593.857674,5655.06,4153.39,3198,2640,813,1190.857143,18.1193,75.6263
KANTHAPHOD,6593.857674,4158.61,4152.98,3382.059701,2904.415663,1092.744027,1190.857143,20.03,75.66
MATHURA-Vrindavan (NN),6593.857674,3728.456823,4150.95,3382.059701,2904.415663,1092.744027,1190.857143,27.4911,77.6836
AHMEDANAGAR,6593.857674,5335.3,4147.62,3382.059701,2904.415663,1092.744027,1190.857143,19.0945,74.7475
PUSAUR (NP),6593.857674,4669.08,4147.2,3382.059701,2904.415663,1092.744027,1190.857143,20.3687,82.1275
SAILU,6593.857674,5230.67,4145.59,3187,2904.415663,1092.744027,1190.857143,20.0454,77.6492
BASTAR (NP),6593.857674,5170.85,4133.97,3382.059701,2904.415663,1092.744027,1190.857143,19.0594,82.1792
NANDURBAR,6593.857674,4070.77,4124.63,3382.059701,2904.415663,1037,1190.857143,21.1228,74.2404
